idx,time,x,y,yaw,mode,speed
0,1772512263.882257,591.517395,-75.006119,2.551102,LK,-0.363607
1,1772512264.662376,591.784912,-75.194244,2.551186,LK,-0.438371
2,1772512265.322275,592.049255,-75.380066,2.551285,LK,-0.497701
3,1772512265.882252,591.645203,-75.097473,2.554472,LK,1.919041
4,1772512266.062214,591.289185,-74.849892,2.556431,LK,2.845925
5,1772512266.162277,591.033875,-74.672859,2.557848,LK,3.355330
6,1772512266.282241,590.735901,-74.466888,2.559542,LK,3.859784
7,1772512266.382234,590.334045,-74.190308,2.561764,LK,4.456515
8,1772512266.482221,589.953613,-73.929619,2.563893,LK,4.841638
9,1772512266.542262,589.543213,-73.649597,2.566209,LK,5.271696
10,1772512266.662259,589.051025,-73.315758,2.569020,LK,5.738082
11,1772512266.782252,588.493408,-72.940033,2.572246,LK,6.055813
12,1772512266.902261,588.107422,-72.681702,2.574459,LK,6.239279
13,1772512266.942284,587.593079,-72.339485,2.577403,LK,6.407683
14,1772512267.082282,586.964844,-71.924080,2.581341,LK,6.566975
15,1772512267.162503,586.403809,-71.556015,2.584853,LK,6.683200
16,1772512267.282287,585.902832,-71.229782,2.587953,LK,6.774708
17,1772512267.402248,585.244751,-70.804619,2.591855,LK,6.892594
18,1772512267.482262,584.746826,-70.485229,2.594764,LK,6.961421
19,1772512267.562232,584.165894,-70.114899,2.597995,LK,7.040941
20,1772512267.682289,583.473511,-69.676979,2.601498,LK,7.125253
21,1772512267.802242,583.022522,-69.393417,2.603577,LK,7.161807
22,1772512267.882259,582.399963,-69.003983,2.606381,LK,7.229741
23,1772512267.962234,581.803528,-68.633057,2.608824,LK,7.271829
24,1772512268.082247,581.208008,-68.264618,2.611084,LK,7.321075
25,1772512268.202220,580.545959,-67.857117,2.613439,LK,7.363519
26,1772512268.242293,579.922058,-67.475014,2.615528,LK,7.404448
27,1772512268.362228,579.291870,-67.090851,2.617388,LK,7.443223
28,1772512268.482215,578.606445,-66.674606,2.618961,LK,7.480254
29,1772512268.602292,577.870361,-66.229134,2.620360,LK,7.518783
30,1772512268.662201,577.394348,-65.941734,2.621231,LK,7.537283
31,1772512268.742244,576.753845,-65.555840,2.622232,LK,7.564027
32,1772512268.862240,576.083496,-65.152840,2.623264,LK,7.592577
33,1772512268.982276,575.441467,-64.767746,2.623877,LK,7.616305
34,1772512269.102245,574.786682,-64.375542,2.624299,LK,7.638104
35,1772512269.182208,574.123901,-63.978687,2.624481,LK,7.658398
36,1772512269.242271,573.467773,-63.585987,2.624595,LK,7.680875
37,1772512269.382276,572.760681,-63.162830,2.624756,LK,7.701472
38,1772512269.482245,572.122559,-62.780945,2.624731,LK,7.713992
39,1772512269.582224,571.380249,-62.336746,2.624575,LK,7.732788
40,1772512269.702208,570.663452,-61.907570,2.624370,LK,7.748764
41,1772512269.742234,570.156982,-61.604233,2.624290,LK,7.758794
42,1772512269.882428,569.484558,-61.201317,2.624107,LK,7.771191
43,1772512270.002253,568.814697,-60.799797,2.623722,LK,7.782409
44,1772512270.082227,568.130432,-60.389175,2.623234,LK,7.794199
45,1772512270.142246,567.468750,-59.991730,2.622764,LK,7.803483
46,1772512270.262222,566.754395,-59.562065,2.622418,LK,7.813272
47,1772512270.382255,566.186462,-59.220310,2.622205,LK,7.819301
48,1772512270.482268,565.481934,-58.796078,2.621907,LK,7.826073
49,1772512270.582262,564.811951,-58.392471,2.621668,LK,7.831403
50,1772512270.622248,564.106506,-57.967236,2.621372,LK,7.836637
51,1772512270.742246,563.341858,-57.505951,2.620923,LK,7.842492
52,1772512270.862231,562.548340,-57.026764,2.620500,LK,7.846501
53,1772512270.982208,561.873840,-56.619095,2.620011,LK,7.849250
54,1772512271.122230,561.232056,-56.230659,2.619649,LK,7.851980
55,1772512271.202241,560.727722,-55.925240,2.619397,LK,7.853227
56,1772512271.242229,560.062439,-55.522015,2.619058,LK,7.855196
57,1772512271.362217,559.396790,-55.118294,2.618743,LK,7.857004
58,1772512271.462250,558.729553,-54.713345,2.618514,LK,7.857801
59,1772512271.602254,558.059265,-54.306362,2.618289,LK,7.859202
60,1772512271.702240,557.344849,-53.872353,2.618059,LK,7.863470
61,1772512271.782248,556.577393,-53.405968,2.617906,LK,7.867306
62,1772512271.862247,556.087158,-53.107925,2.617894,LK,7.870366
63,1772512271.982230,555.487488,-52.743340,2.617879,LK,7.873836
64,1772512272.062274,554.720337,-52.276936,2.617699,LK,7.879957
65,1772512272.182341,554.075256,-51.884605,2.617540,LK,7.887533
66,1772512272.242238,553.311462,-51.419842,2.617470,LK,7.895850
67,1772512272.382322,552.643677,-51.013435,2.617443,LK,7.902936
68,1772512272.482252,551.933777,-50.581440,2.617430,LK,7.911876
69,1772512272.562238,551.137268,-50.096878,2.617341,LK,7.916080
70,1772512272.702234,550.464417,-49.687416,2.617249,LK,7.923043
71,1772512272.742216,549.954712,-49.377232,2.617187,LK,7.927469
72,1772512272.862238,549.296265,-48.976456,2.617163,LK,7.931470
73,1772512272.962210,548.584167,-48.543118,2.617133,LK,7.934853
74,1772512273.102200,547.918823,-48.138218,2.617097,LK,7.941453
75,1772512273.162220,547.268005,-47.742104,2.617076,LK,7.943189
76,1772512273.242289,546.613037,-47.343491,2.617078,LK,7.945433
77,1772512273.362313,545.884888,-46.900249,2.617024,LK,7.951009
78,1772512273.482243,545.109375,-46.427956,2.616774,LK,7.950548
79,1772512273.582284,544.593140,-46.113380,2.616689,LK,7.954347
80,1772512273.702240,543.836060,-45.651836,2.616665,LK,7.958109
81,1772512273.742230,543.176147,-45.249527,2.616693,LK,7.959351
82,1772512273.862220,542.487549,-44.829727,2.616798,LK,7.961306
83,1772512273.982215,541.793396,-44.406620,2.616841,LK,7.960256
84,1772512274.062254,541.109741,-43.989952,2.616848,LK,7.955748
85,1772512274.222272,540.382324,-43.546646,2.616788,LK,7.954984
86,1772512274.322248,539.591797,-43.064831,2.616783,LK,7.952147
87,1772512274.362285,538.924927,-42.658352,2.616790,LK,7.948685
88,1772512274.482234,538.423462,-42.352810,2.616806,LK,7.951893
89,1772512274.582205,537.778870,-41.960266,2.616918,LK,7.946892
90,1772512274.642233,537.120605,-41.559601,2.617060,LK,7.940627
91,1772512274.722265,536.440918,-41.145935,2.617190,LK,7.937660
92,1772512274.842204,535.681641,-40.683990,2.617298,LK,7.943000
93,1772512274.962242,534.998718,-40.268681,2.617321,LK,7.937978
94,1772512275.102236,534.275391,-39.828667,2.617262,LK,7.934898
95,1772512275.182244,533.501709,-39.357964,2.617217,LK,7.932824
96,1772512275.282259,532.993652,-39.048805,2.617224,LK,7.932634
97,1772512275.342258,532.336731,-38.649193,2.617220,LK,7.932348
98,1772512275.482241,531.657532,-38.235767,2.617103,LK,7.932782
99,1772512275.602251,530.957886,-37.809959,2.616973,LK,7.935653
100,1772512275.682249,530.279968,-37.397408,2.616915,LK,7.938438
101,1772512275.742244,529.622620,-36.996876,2.616942,LK,7.938643
102,1772512275.842249,528.945190,-36.584377,2.617235,LK,7.939614
103,1772512275.982259,528.270935,-36.174385,2.617963,LK,7.939909
104,1772512276.082227,527.552307,-35.737968,2.619487,LK,7.935622
105,1772512276.202268,526.779602,-35.270363,2.621658,LK,7.931156
106,1772512276.222249,526.275146,-34.966866,2.623585,LK,7.928064
107,1772512276.362217,525.604431,-34.565399,2.626356,LK,7.922821
108,1772512276.482239,524.908203,-34.151501,2.629870,LK,7.915677
109,1772512276.582296,524.231873,-33.752594,2.633354,LK,7.907718
110,1772512276.662221,523.543457,-33.350044,2.636880,LK,7.899709
111,1772512276.802239,522.666138,-32.841766,2.640410,LK,7.890183
112,1772512276.842247,522.115906,-32.524929,2.642064,LK,7.885167
113,1772512276.962229,521.321228,-32.069000,2.643605,LK,7.879824
114,1772512277.082275,520.813904,-31.778561,2.644163,LK,7.876959
115,1772512277.182288,520.167969,-31.408836,2.644500,LK,7.874593
116,1772512277.302316,519.501892,-31.027214,2.643718,LK,7.873429
117,1772512277.342296,518.844788,-30.650009,2.642097,LK,7.872630
118,1772512277.462264,518.158813,-30.254459,2.639839,LK,7.873468
119,1772512277.562258,517.444702,-29.839703,2.637149,LK,7.876264
120,1772512277.682239,516.661377,-29.381601,2.633741,LK,7.880520
121,1772512277.822241,515.877136,-28.919508,2.629943,LK,7.884105
122,1772512277.842245,515.372070,-28.619801,2.627478,LK,7.887177
123,1772512277.962219,514.714111,-28.226807,2.624438,LK,7.890850
124,1772512278.082242,514.022278,-27.810631,2.620743,LK,7.895466
125,1772512278.202234,513.355835,-27.406332,2.617106,LK,7.899960
126,1772512278.282244,512.712524,-27.012922,2.613911,LK,7.903822
127,1772512278.342227,512.042603,-26.600285,2.610835,LK,7.907470
128,1772512278.462231,511.318878,-26.151352,2.607658,LK,7.913714
129,1772512278.582280,510.549683,-25.670963,2.604662,LK,7.919240
130,1772512278.662236,510.045654,-25.354517,2.602846,LK,7.922673
131,1772512278.762195,509.376465,-24.932487,2.600553,LK,7.926946
132,1772512278.842238,508.629883,-24.459234,2.598412,LK,7.928022
133,1772512278.962260,508.029694,-24.077244,2.596956,LK,7.931150
134,1772512279.082242,507.274200,-23.595053,2.595804,LK,7.933389
135,1772512279.182230,506.421051,-23.049337,2.594857,LK,7.934344
136,1772512279.302346,505.949219,-22.747192,2.594406,LK,7.934783
137,1772512279.402286,505.298706,-22.330332,2.594055,LK,7.935242
138,1772512279.422257,504.615051,-21.891912,2.593984,LK,7.935151
139,1772512279.562324,503.860565,-21.408199,2.594199,LK,7.938145
140,1772512279.662243,503.105072,-20.924349,2.594935,LK,7.940289
141,1772512279.782268,502.613953,-20.610256,2.595565,LK,7.940686
142,1772512279.902226,501.960999,-20.193525,2.596472,LK,7.945208
143,1772512280.022254,501.288635,-19.765320,2.597497,LK,7.948631
144,1772512280.042263,500.632629,-19.348557,2.598618,LK,7.951816
145,1772512280.142328,499.955627,-18.919519,2.599871,LK,7.955054
146,1772512280.282290,499.299744,-18.505020,2.601157,LK,7.957971
147,1772512280.402256,498.645874,-18.092991,2.602506,LK,7.960795
148,1772512280.482218,497.915436,-17.634243,2.604103,LK,7.961586
149,1772512280.582207,497.136230,-17.146626,2.605708,LK,7.962023
150,1772512280.662293,496.634735,-16.833750,2.606661,LK,7.962332
151,1772512280.782247,495.931732,-16.396194,2.607962,LK,7.962381
152,1772512280.902256,495.245483,-15.970250,2.609279,LK,7.960984
153,1772512280.962169,494.588196,-15.563489,2.610523,LK,7.961092
154,1772512281.042216,493.931000,-15.157980,2.611696,LK,7.960743
155,1772512281.162286,493.161957,-14.684830,2.612999,LK,7.958523
156,1772512281.282241,492.490265,-14.272710,2.614006,LK,7.961100
157,1772512281.402262,491.835907,-13.872152,2.614915,LK,7.962774
158,1772512281.442234,491.152191,-13.454477,2.615786,LK,7.963195
159,1772512281.642216,489.748901,-12.599594,2.617160,LK,7.965686
160,1772512281.762229,489.247253,-12.294533,2.617567,LK,7.961812
161,1772512281.882236,488.574829,-11.885902,2.617980,LK,7.961026
162,1772512282.002322,487.808350,-11.420628,2.618350,LK,7.958923
163,1772512282.062232,487.128052,-11.007898,2.618667,LK,7.954738
164,1772512282.142243,486.489136,-10.620457,2.618962,LK,7.951141
165,1772512282.262240,485.838501,-10.226175,2.619169,LK,7.947385
166,1772512282.382259,485.170807,-9.821714,2.619293,LK,7.945271
167,1772512282.482244,484.398621,-9.354052,2.619326,LK,7.943444
168,1772512282.562250,483.685547,-8.922155,2.619260,LK,7.941526
169,1772512282.722226,482.909698,-8.452110,2.619199,LK,7.939643
170,1772512282.742247,482.404175,-8.145823,2.619162,LK,7.940184
171,1772512282.862207,481.760986,-7.756074,2.619101,LK,7.939767
172,1772512282.982234,481.079407,-7.342980,2.618961,LK,7.938689
173,1772512283.102254,480.402161,-6.932372,2.618812,LK,7.938182
174,1772512283.182238,479.744995,-6.533865,2.618677,LK,7.937521
175,1772512283.302246,478.981995,-6.070990,2.618549,LK,7.936060
176,1772512283.342245,478.319397,-5.668954,2.618489,LK,7.935372
177,1772512283.462232,477.587341,-5.224730,2.618426,LK,7.934857
178,1772512283.582284,476.818695,-4.758231,2.618329,LK,7.934244
179,1772512283.882234,476.029907,-4.279365,2.618315,LK,7.932979
180,1772512284.002261,475.373901,-3.881113,2.618190,LK,7.932174
181,1772512284.102288,474.661011,-3.448210,2.618007,LK,7.931228
182,1772512284.222287,473.951202,-3.016962,2.617825,LK,7.928928
183,1772512284.302259,473.325439,-2.636610,2.617670,LK,7.927119
184,1772512284.362275,472.626770,-2.211814,2.617538,LK,7.925007
185,1772512284.482248,471.919617,-1.781748,2.617405,LK,7.923221
186,1772512284.602240,471.194580,-1.340665,2.617286,LK,7.923101
187,1772512284.722218,470.441528,-0.882375,2.617153,LK,7.919928
188,1772512284.842236,469.291016,-0.181801,2.616733,LK,7.920172
189,1772512284.982225,468.617249,0.228881,2.616366,LK,7.920228
190,1772512285.102276,467.849762,0.697184,2.615856,LK,7.913091
191,1772512285.222252,467.180359,1.106130,2.615343,LK,7.911804
192,1772512285.302249,466.469177,1.541043,2.614668,INT,7.912405
193,1772512285.442221,465.699951,2.012344,2.613748,INT,7.909172
194,1772512285.462230,465.207428,2.314636,2.613079,INT,7.905725
195,1772512285.582234,464.549194,2.719422,2.611865,INT,7.903823
196,1772512285.702298,463.898071,3.120904,2.610461,INT,7.904640
197,1772512285.822246,463.147980,3.585184,2.608751,INT,7.906559
198,1772512285.902238,462.496582,3.989999,2.607184,INT,7.905968
199,1772512285.962251,461.840210,4.399380,2.605483,INT,7.905189
200,1772512286.082287,461.115997,4.852903,2.603524,INT,7.902936
201,1772512286.202267,460.372375,5.320634,2.601426,INT,7.903305
202,1772512286.322234,459.875061,5.634665,2.599881,INT,7.899612
203,1772512286.402244,459.109406,6.120250,2.597546,INT,7.894611
204,1772512286.442242,458.474213,6.524958,2.595731,INT,7.892955
205,1772512286.582228,457.835541,6.933520,2.593856,INT,7.891895
206,1772512286.702244,457.183258,7.352498,2.591939,INT,7.890598
207,1772512286.822224,456.548462,7.761886,2.590059,INT,7.887003
208,1772512286.902318,455.800446,8.246460,2.587862,INT,7.887015
209,1772512286.962270,455.154541,8.666766,2.585992,INT,7.887403
210,1772512287.082288,454.373993,9.176966,2.583857,INT,7.885509
211,1772512287.182207,453.852051,9.519410,2.582625,INT,7.881389
212,1772512287.302236,453.216156,9.937825,2.581099,INT,7.878432
213,1772512287.402260,452.452759,10.441942,2.579270,INT,7.871962
214,1772512287.502291,451.965851,10.764505,2.578541,INT,7.869354
215,1772512287.562248,451.264130,11.230514,2.577210,INT,7.870894
216,1772512287.682251,450.707520,11.601033,2.576164,INT,7.864789
217,1772512287.802241,449.971191,12.092712,2.574780,INT,7.856168
218,1772512287.922218,449.340424,12.515062,2.573695,INT,7.854346
219,1772512288.022238,448.705170,12.941523,2.572735,INT,7.853208
220,1772512288.062293,448.053741,13.379922,2.572000,INT,7.847682
221,1772512288.182249,447.397095,13.822470,2.571404,INT,7.844360
222,1772512288.302271,446.710938,14.285311,2.570926,INT,7.839153
223,1772512288.422279,445.975739,14.781912,2.570538,INT,7.835607
224,1772512288.502243,445.496826,15.105440,2.570325,INT,7.837528
225,1772512288.542324,444.868927,15.529743,2.570166,INT,7.831019
226,1772512288.662278,444.127350,16.031263,2.570043,INT,7.829296
227,1772512288.782278,443.472168,16.474258,2.570029,INT,7.831082
228,1772512288.902258,442.828552,16.909344,2.570030,INT,7.832816
229,1772512289.022283,442.199951,17.334175,2.570130,INT,7.832837
230,1772512289.122287,441.509369,17.800983,2.570350,INT,7.832487
231,1772512289.202214,440.768829,18.301168,2.570690,INT,7.833946
232,1772512289.262255,440.288269,18.625458,2.570984,INT,7.834927
233,1772512289.382250,439.400543,19.223976,2.571522,INT,7.835536
234,1772512289.502267,438.920288,19.547552,2.572597,INT,7.834607
235,1772512289.622254,438.303497,19.961966,2.573421,INT,7.837152
236,1772512289.702253,437.679871,20.380056,2.573774,INT,7.838500
237,1772512289.742263,437.024353,20.819277,2.574041,INT,7.840013
238,1772512289.862228,436.378601,21.251825,2.574202,INT,7.842081
239,1772512289.982381,435.745178,21.675919,2.574566,INT,7.843719
240,1772512290.082244,435.017273,22.163012,2.575001,INT,7.845256
241,1772512290.202207,434.332520,22.620735,2.575283,INT,7.847506
242,1772512290.302219,433.581116,23.122341,2.575457,INT,7.852361
243,1772512290.402248,433.091919,23.448803,2.575670,INT,7.855445
244,1772512290.462346,432.471588,23.862757,2.575952,INT,7.859294
245,1772512290.582318,431.748169,24.345127,2.576103,INT,7.864065
246,1772512290.682296,431.115784,24.766602,2.576254,INT,7.869591
247,1772512290.782264,430.466492,25.199257,2.576316,INT,7.875141
248,1772512290.902223,429.827881,25.624798,2.576348,INT,7.880839
249,1772512290.962213,429.118713,26.097473,2.576460,INT,7.885908
250,1772512291.062245,428.378052,26.590965,2.576469,INT,7.891081
251,1772512291.182292,427.890930,26.915518,2.576410,INT,7.893124
252,1772512291.302295,427.159302,27.402975,2.576403,INT,7.896465
253,1772512291.402236,426.531860,27.821041,2.576411,INT,7.899059
254,1772512291.462227,425.904388,28.239191,2.576508,INT,7.901399
255,1772512291.562258,425.183594,28.719372,2.576661,INT,7.903125
256,1772512291.662247,424.604401,29.105024,2.576733,INT,7.903334
257,1772512291.782255,423.900116,29.573643,2.576980,INT,7.900305
258,1772512291.902290,423.209229,30.033417,2.577314,INT,7.901083
259,1772512291.982249,422.453827,30.535923,2.577763,INT,7.900318
260,1772512292.082234,421.964874,30.860676,2.578117,INT,7.896658
261,1772512292.202240,421.218567,31.355402,2.578967,INT,7.892207
262,1772512292.262216,420.596191,31.767725,2.579706,INT,7.890060
263,1772512292.402215,419.932556,32.206448,2.580590,INT,7.885628
264,1772512292.502227,419.291687,32.629009,2.582417,INT,7.879609
265,1772512292.622235,418.651123,33.049652,2.583908,INT,7.875375
266,1772512292.642227,418.014832,33.465988,2.585194,INT,7.869841
267,1772512292.762198,417.316772,33.921398,2.586650,INT,7.863927
268,1772512292.882219,416.563202,34.411430,2.588347,INT,7.855823
269,1772512293.022228,415.816406,34.895275,2.590107,INT,7.847889
270,1772512293.102226,415.326508,35.211674,2.591351,INT,7.839974
271,1772512293.162232,414.690125,35.621414,2.593004,INT,7.836925
272,1772512293.242269,414.057739,36.027248,2.594627,INT,7.837107
273,1772512293.362241,413.318146,36.499969,2.596595,LK,7.832653
274,1772512293.482225,412.722351,36.879364,2.598259,LK,7.831940
275,1772512293.582202,412.030090,37.318512,2.600199,LK,7.841633
276,1772512293.682224,411.285492,37.788799,2.602260,LK,7.854579
277,1772512293.802237,410.536926,38.259392,2.604101,LK,7.863879
278,1772512293.862288,410.044434,38.568008,2.604812,LK,7.875445
279,1772512293.982208,409.396118,38.973541,2.605477,LK,7.886335
280,1772512294.082319,408.823090,39.331680,2.605215,LK,7.887954
281,1772512294.202237,408.180450,39.733795,2.604208,LK,7.891315
282,1772512294.322216,407.420654,40.211052,2.601869,LK,7.895343
283,1772512294.382221,406.778381,40.616760,2.599256,LK,7.894580
284,1772512294.462262,406.076630,41.063255,2.595532,LK,7.889031
285,1772512294.562221,405.330566,41.542442,2.591799,LK,7.883690
286,1772512294.682199,404.839905,41.859650,2.589609,LK,7.877452
287,1772512294.802221,404.200012,42.275513,2.586089,LK,7.869064
288,1772512294.902227,403.460693,42.760468,2.580253,LK,7.863585
289,1772512295.022211,402.826813,43.181534,2.574557,LK,7.854861
290,1772512295.042235,402.192047,43.608845,2.568028,LK,7.845329
291,1772512295.162241,401.586975,44.022179,2.561342,LC,7.836027
292,1772512295.282270,400.859497,44.527325,2.553105,LC,7.827473
293,1772512295.382244,400.240845,44.964096,2.546143,LC,7.820746
294,1772512295.522224,399.580994,45.436985,2.539133,LC,7.814426
295,1772512295.622217,398.852417,45.967010,2.531929,LC,7.806923
296,1772512295.702239,398.389832,46.307636,2.527261,LC,7.801547
297,1772512295.742228,397.782227,46.760086,2.520447,LC,7.795319
298,1772512295.862251,397.064667,47.302868,2.512474,LC,7.790247
299,1772512295.982263,396.483215,47.749432,2.506863,LC,7.787616
300,1772512296.102258,395.880280,48.217831,2.501360,LC,7.784504
301,1772512296.182245,395.295197,48.677303,2.496146,LC,7.781557
302,1772512296.302218,394.643555,49.194633,2.490472,LC,7.781240
303,1772512296.442197,393.832520,49.846600,2.484122,LC,7.780586
304,1772512296.462251,393.486877,50.127014,2.481557,LC,7.780454
305,1772512296.582233,392.916840,50.592510,2.477753,LC,7.781420
306,1772512296.702284,392.321259,51.082474,2.474778,LC,7.782561
307,1772512296.782235,391.740875,51.562538,2.472293,LC,7.783370
308,1772512296.902293,391.068054,52.121662,2.470390,LC,7.783581
309,1772512296.982295,390.477539,52.613693,2.469275,LC,7.785607
310,1772512297.062270,389.898010,53.097397,2.468674,LC,7.785754
311,1772512297.162229,389.264801,53.626255,2.469291,LC,7.785404
312,1772512297.282250,388.594727,54.184292,2.472229,LC,7.785308
313,1772512297.402272,388.156647,54.546925,2.474363,LC,7.785700
314,1772512297.502256,387.569183,55.030518,2.474011,LC,7.783688
315,1772512297.622232,386.895020,55.587204,2.473890,LC,7.781188
316,1772512297.642258,386.330688,56.052971,2.478097,LC,7.780577
317,1772512297.762341,385.747101,56.529922,2.483265,LC,7.777812
318,1772512297.882262,385.077271,57.069939,2.490089,LC,7.773829
319,1772512297.982274,384.489136,57.537048,2.496749,LC,7.770149
320,1772512298.102268,383.838287,58.046158,2.504217,LC,7.766492
321,1772512298.222257,383.147980,58.577682,2.512337,LC,7.759439
322,1772512298.322231,382.698547,58.918972,2.517787,LC,7.756045
323,1772512298.362287,381.997955,59.443325,2.526241,LC,7.749106
324,1772512298.462218,381.381348,59.897148,2.533910,LC,7.743533
325,1772512298.582283,380.780457,60.332355,2.541472,LC,7.739507
326,1772512298.702264,380.160309,60.774246,2.549182,LC,7.736893
327,1772512298.822292,379.469086,61.258362,2.557612,LC,7.733392
328,1772512298.922340,378.964539,61.606339,2.563680,LK,7.733897
329,1772512299.022268,378.244507,62.095226,2.572093,LK,7.736288
330,1772512299.062272,377.774963,62.409348,2.577499,LK,7.734740
331,1772512299.182264,377.131622,62.834026,2.584627,LK,7.737413
332,1772512299.262215,376.493652,63.248856,2.591118,LK,7.743334
333,1772512299.422258,375.843140,63.665855,2.597545,LK,7.744308
334,1772512299.502261,375.114441,64.126274,2.604676,LK,7.738829
335,1772512299.562251,374.464325,64.531013,2.610584,LK,7.739858
336,1772512299.702206,373.822327,64.925423,2.616029,LK,7.740345
337,1772512299.802253,373.114624,65.354881,2.621339,LK,7.734121
338,1772512299.922234,372.368835,65.802208,2.626773,LK,7.727432
339,1772512300.022236,371.876343,66.094643,2.629733,LK,7.724131
340,1772512300.042231,371.235474,66.472382,2.633156,LK,7.722274
341,1772512300.162216,370.471252,66.919334,2.636568,LK,7.722698
342,1772512300.282243,369.835510,67.288834,2.638666,LK,7.724515
343,1772512300.402292,369.169739,67.674072,2.640703,LK,7.724885
344,1772512300.502216,368.513824,68.051956,2.642370,LK,7.726397
345,1772512300.622239,367.808411,68.457008,2.643696,LK,7.731112
346,1772512300.722332,367.031372,68.901871,2.644839,LK,7.734316
347,1772512300.762246,366.375244,69.276810,2.645352,LK,7.737894
348,1772512300.862242,365.629272,69.702812,2.645591,LK,7.742186
349,1772512300.962265,365.141235,69.981430,2.645526,LK,7.745597
350,1772512301.042255,364.519226,70.336700,2.645203,LK,7.746794
351,1772512301.202263,363.947632,70.663589,2.644609,LK,7.748904
352,1772512301.302288,363.220184,71.080360,2.643671,LK,7.751708
